code,valid intentions,gpt intentions
"private void indexCachedResources(Map<String, Long> fileModified, Map<String, SQLiteTileSource> rs) {
				Cursor cursor = sqliteDb.rawQuery(""SELECT filename, date_modified, left, right, top, bottom FROM TILE_SOURCES"", 
						new String[0]);
				if(cursor.moveToFirst()) {
					do {
						String filename = cursor.getString(0);
						long lastModified = cursor.getLong(1);
						Long read = fileModified.get(filename);
						if(rs.containsKey(filename) && read != null && lastModified == read) {
							int left = cursor.getInt(2);
							int right = cursor.getInt(3);
							int top = cursor.getInt(4);
							float bottom = cursor.getInt(5);
							indexedResources.insert(filename, new QuadRect(left, top, right, bottom));
							fileModified.remove(filename);
						}
						
					} while(cursor.moveToNext());
					cursor.close();
				}
			}","[('2', 'acquire', 'Cursor'), ('19', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (19, 'release', 'cursor', 'Cursor')]"
"private void indexCachedResources(Map<String, Long> fileModified, Map<String, SQLiteTileSource> rs) {
				Cursor cursor = sqliteDb.rawQuery(""SELECT filename, date_modified, left, right, top, bottom FROM TILE_SOURCES"", 
						new String[0]);
				if(cursor.moveToFirst()) {
					do {
						String filename = cursor.getString(0);
						long lastModified = cursor.getLong(1);
						Long read = fileModified.get(filename);
						if(rs.containsKey(filename) && read != null && lastModified == read) {
							int left = cursor.getInt(2);
							int right = cursor.getInt(3);
							int top = cursor.getInt(4);
							float bottom = cursor.getInt(5);
							indexedResources.insert(filename, new QuadRect(left, top, right, bottom));
							fileModified.remove(filename);
						}
						
					} while(cursor.moveToNext());
				}
				cursor.close();
			}","[('2', 'acquire', 'Cursor'), ('20', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (20, 'release', 'cursor', 'Cursor')]"
"	public static Conversation getConversation(final Context context,
			final int threadId, final boolean forceUpdate) {
		synchronized (CACHE) {
			Conversation ret = CACHE.get(threadId);
			if (ret == null || ret.getAddress() == null || forceUpdate) {
				Cursor cursor = context.getContentResolver().query(
						ConversationProvider.CONTENT_URI,
						ConversationProvider.PROJECTION,
						ConversationProvider.PROJECTION[// .
								ConversationProvider.INDEX_THREADID]
								+ "" = "" + threadId, null, null);
				if (cursor != null && cursor.moveToFirst()) {
					return getConversation(context, cursor, true);
				} else {
					Log.e(TAG, ""did not found conversation: "" + threadId);
				}
			}
			return ret;
		}
	}
","[('6', 'acquire', 'Cursor'), ('12', 'check', 'cursor')]","[(6, 'acquire', 'cursor', 'Cursor'), (12, 'check', 'cursor', 'Cursor')]"
"	public static Conversation getConversation(final Context context,
			final Cursor cursor, final boolean sync) {
		synchronized (CACHE) {
			Conversation ret = CACHE.get(cursor
					.getInt(ConversationProvider.INDEX_THREADID));
			if (ret == null) {
				ret = new Conversation(context, cursor, sync);
				CACHE.put(ret.getThreadId(), ret);
				Log.d(TAG, ""cachesize: "" + CACHE.size());
				while (CACHE.size() > CAHCESIZE) {
					Integer i = CACHE.keySet().iterator().next();
					Log.d(TAG, ""rm con. from cache: "" + i);
					Conversation cc = CACHE.remove(i);
					if (cc == null) {
						Log.w(TAG, ""CACHE might be inconsistent!"");
						break;
					}
				}
			} else {
				ret.update(context, cursor, sync);
			}
			return ret;
		}
	}
",[],"[(6, 'check', 'ret', 'Conversation'), (14, 'check', 'cc', 'Conversation')]"
"static boolean nameExists(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"",
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      return true;
    } else {
      return false;
    }
  }","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (4, 'check', 'cursor', 'Cursor')]"
"  static boolean nameExists(String email) {
    Cursor cursor = getAccount(email);
    try {
      return !cursorIsEmpty(cursor);
    } finally {
      tryCloseCursor(cursor);
    }
  }
","[('2', 'acquire', 'Cursor'), ('6', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (6, 'release', 'cursor', 'Cursor')]"
"static String getSecret(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"",
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      cursor.moveToFirst();
      return cursor.getString(cursor.getColumnIndex(SECRET_COLUMN));
    } 
    return null;   
  }","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor')]"
"  static String getSecret(String email) {
    Cursor cursor = getAccount(email);
    try {
      if (!cursorIsEmpty(cursor)) {
        cursor.moveToFirst();
        return cursor.getString(cursor.getColumnIndex(SECRET_COLUMN));
      }
    } finally {
      tryCloseCursor(cursor);
    }
    return null;   
  }
","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor'), ('9', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (4, 'check', 'cursor', 'Cursor'), (9, 'release', 'cursor', 'Cursor')]"
"static Integer getCounter(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"", 
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      cursor.moveToFirst();
      return cursor.getInt(cursor.getColumnIndex(COUNTER_COLUMN));
    } 
    return null;   
  }","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (4, 'check', 'cursor', 'Cursor')]"
"  static Integer getCounter(String email) {
    Cursor cursor = getAccount(email);
    try {
      if (!cursorIsEmpty(cursor)) {
        cursor.moveToFirst();
        return cursor.getInt(cursor.getColumnIndex(COUNTER_COLUMN));
      } 
    } finally {
      tryCloseCursor(cursor);
    }
    return null;   
  }
","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor'), ('9', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (4, 'check', 'cursor', 'Cursor'), (9, 'release', 'cursor', 'Cursor')]"
"static OtpType getType(String email) {
    Cursor cursor = DATABASE.query(TABLE_NAME, null, EMAIL_COLUMN + ""= ?"", 
        new String[] {email}, null, null, null);
    if (cursor != null && cursor.getCount() > 0) {
      cursor.moveToFirst();
      Integer value = cursor.getInt(cursor.getColumnIndex(TYPE_COLUMN));
      return OtpType.getEnum(value);
    } 
    return null;   
  }","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (4, 'check', 'cursor', 'Cursor')]"
"  static OtpType getType(String email) {
    Cursor cursor = getAccount(email);
    try {
      if (!cursorIsEmpty(cursor)) {
        cursor.moveToFirst();
        Integer value = cursor.getInt(cursor.getColumnIndex(TYPE_COLUMN));
        return OtpType.getEnum(value);
      } 
    } finally {
      tryCloseCursor(cursor);
    }
    return null;   
  }
","[('2', 'acquire', 'Cursor'), ('4', 'check', 'Cursor'), ('10', 'release', 'Cursor')]","[(2, 'acquire', 'cursor', 'Cursor'), (4, 'check', 'cursor', 'Cursor'), (10, 'release', 'cursor', 'Cursor')]"
"protected void refreshUserList() {
    
    // If the users have changed, let the (potentially running) widget know it needs to be
    // updated
    Intent intent = new Intent(AuthenticatorWidget.WidgetReceiver.APPWIDGET_UPDATE);
    intent.setClass(this, AuthenticatorWidget.WidgetReceiver.class);
    sendBroadcast(intent);
    
    Cursor cursor = AccountDb.getNames();
    int index = cursor.getColumnIndex(AccountDb.EMAIL_COLUMN);
    if (cursor.requery() && cursor.getCount() > 0) {
      if (mUsers.length != cursor.getCount()) {
        mUsers = new PinInfo[cursor.getCount()];
      }
      for (int i = 0; i < cursor.getCount(); i++) {
        cursor.moveToPosition(i);
        String user = cursor.getString(index);
        Log.i(TAG, ""onResume user: "" + user);
        computeAndDisplayPin(user, i, false);
      }

      mUserAdapter = new PinListAdapter(this, mUsers);
      mUserList.setAdapter(mUserAdapter); // force refresh of display

      if (mUserList.getVisibility() != View.VISIBLE) {
        mEnterPinTextView.setText(R.string.enter_pin);
        mEnterPinTextView.setVisibility(View.VISIBLE);
        mUserList.setVisibility(View.VISIBLE);
        registerForContextMenu(mUserList);
      }

    } else {
      // If the user started up this app but there is no secret key yet,
      // then tell the user to visit a web page to get the secret key.
      mUsers = new PinInfo[0]; // clear any existing user PIN state 
      tellUserToGetSecretKey();
    }
  }","[('9', 'acquire', 'Cursor')]","[(9, 'acquire', 'cursor', 'Cursor')]"
"  protected void refreshUserList() {
    refreshUserList(false);
  }
",[],[]
"public static Account accountFromDb(Context context, String accountId, boolean loadTransactions) {
  DBAdapter db = new DBAdapter(context);
  db.open();
  Cursor c = db.getAccount(accountId);
  if (c == null || c.isClosed() || (c.isBeforeFirst() && c.isAfterLast())) {
   db.close();
   return null;
  }
  Account account = new Account(c.getString(c.getColumnIndex(""name"")),
                                      new BigDecimal(c.getString(c.getColumnIndex(""balance""))),
                                      c.getString(c.getColumnIndex(""id"")).split(""_"")[1],
                                      c.getLong(c.getColumnIndex(""bankid"")),
                                      c.getInt(c.getColumnIndex(""acctype"")));
        account.setHidden(c.getInt(c.getColumnIndex(""hidden"")) == 1 ? true : false);
        account.setNotify(c.getInt(c.getColumnIndex(""notify"")) == 1 ? true : false);
        account.setCurrency(c.getString(c.getColumnIndex(""currency"")));
  c.close();
  if (loadTransactions) {
   ArrayList<Transaction> transactions = new ArrayList<Transaction>();
   //""transdate"", ""btransaction"", ""amount""}   
   c = db.fetchTransactions(accountId);
   if (!(c == null || c.isClosed() || (c.isBeforeFirst() && c.isAfterLast()))) {
    while (!c.isLast() && !c.isAfterLast()) {
     c.moveToNext();
     transactions.add(new Transaction(c.getString(c.getColumnIndex(""transdate"")),
                                     c.getString(c.getColumnIndex(""btransaction"")),
                                     new BigDecimal(c.getString(c.getColumnIndex(""amount""))),
                                     c.getString(c.getColumnIndex(""currency""))));
    }
   }
   account.setTransactions(transactions);
  }
  
  db.close();
  return account;
 }","[('3', 'acquire', 'db'), ('4', 'acquire', 'c'), ('5', 'check', 'c'), ('6', 'release', 'db'), ('17', 'release', 'c'), ('21', 'acquire', 'c'), ('22', 'check', 'c'), ('34', 'release', 'db')]","[(2, 'acquire', 'db', 'DBAdapter'), (4, 'acquire', 'c', 'Cursor'), (5, 'check', 'c', 'Cursor'), (6, 'release', 'db', 'DBAdapter'), (17, 'release', 'c', 'Cursor'), (22, 'check', 'c', 'Cursor'), (34, 'release', 'db', 'DBAdapter')]"
